Icon,Name,Detail,Time,Review,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Detected_Language
https://lh3.googleusercontent.com/a/ACg8ocK9KmGdTJGlJ6UQe_NVTSYdBFXF59oAL4znT7B08FlZKtFjwA=w40-h40-p-rp-mo-ba4-br100,K F,Local Guide · 72 reviews · 47 photos,a year ago,please teach babies recall love issue weve glass bottles left people recalling dogs know park wouldnt let dog jump,,,,Share,en
https://lh3.googleusercontent.com/a/ACg8ocL-u2GvfAARe8jWXae_Lj89dMo4LbyiHSsaEpttt4LsPTRGgw=w40-h40-p-rp-mo-br100,Kay C,7 reviews · 2 photos,a year ago,park securely fenced two water fountains supply dog poo bags case forget bring park big enough dogs sizes run around form separate groups,,,Like,Share,en
https://lh3.googleusercontent.com/a-/ALV-UjXvsjsWIAHOm_BkfG8wxx-Dw19d2zHK8Sakhe4_lRv7bivpNHWR=w40-h40-p-rp-mo-br100,Jules Wilkinson,24 reviews · 17 photos,4 years ago,totally fenced dog park seats shade humans generally well behaved always alert dog around,,,Share,Like,en
https://lh3.googleusercontent.com/a-/ALV-UjWLLOClybPMYpqbLg8LYerzcenu2ONBwrVv-xb6YsjVmmhlVTY9=w40-h40-p-rp-mo-ba4-br100,Morry Morgan,Local Guide · 122 reviews · 140 photos,a year ago,great inner city dog park trees grow taller provide shade awesome five star dog park theres enough room throw ball water fountains plenty fenced,,,Like,Share,en
https://lh3.googleusercontent.com/a-/ALV-UjWAG-2oNJYXgHvsm3REbs5yUOQmksDvh83PgTsKdl9JfuAkftUC9Q=w40-h40-p-rp-mo-br100,Tori Cat,10 reviews · 23 photos,2 years ago,great spot lots shade afternoon escape heat large enough big zoomies,,,Share,,en
https://lh3.googleusercontent.com/a-/ALV-UjXQWqWX2uVtPktZjr29ZH8A-SPUC2UT3oDqi2gH2iqXk0al9Dw=w40-h40-p-rp-mo-ba4-br100,Fabrizio Becce,Local Guide · 58 reviews · 114 photos,5 months ago,nice maintained dog park water benches good behaving dogs,,,Like,Share,en
https://lh3.googleusercontent.com/a-/ALV-UjUqTEhrcmbPQ3M6bbsR0yn-ZGNJXOnl8tZuCgYKlugW2-OgUBI=w40-h40-p-rp-mo-ba4-br100,Esterita Rosiana,Local Guide · 58 reviews · 115 photos,6 years ago,good dogs playing around dogs friendly atmosphere,,,Share,,en
https://lh3.googleusercontent.com/a-/ALV-UjUlleQrnDp44bjAd4ntWmqYpGAr46OtC7ijmt-mxoe3TFop4ud00g=w40-h40-p-rp-mo-ba4-br100,Bernadette Mckennedy,Local Guide · 85 reviews · 75 photos,2 years ago,love park im pretty new world ive net lovely people dogs sundays coffee ball bit sunshine winner,,,Share,,en
https://lh3.googleusercontent.com/a/ACg8ocJshzcIQEeVmcmcTpzrA2wnXp8zLIsUEJCkz6IlmX4CWa7N7A=w40-h40-p-rp-mo-ba5-br100,John Locke,Local Guide · 148 reviews · 804 photos,7 months ago,small chairs dog leash,,,Share,Like,en
https://lh3.googleusercontent.com/a-/ALV-UjWK1fPdu2GAgnSDITJUSSVuVL9G7FYdCck1ZQ7kd_dZu90p9sBF=w40-h40-p-rp-mo-br100,Claire bice,51 reviews · 9 photos,2 years ago,fantastic large area friendly people great facilities drinking fountains emptyable dog drinking bowls solar powered nightlights dogproof fences keep eye gates single gates double,,,,Share,en
https://lh3.googleusercontent.com/a-/ALV-UjWo7Gw5vyUXDwvJ5PaOaii99qCy49n1vjDn5_ZMQiGrwtTM2wDnAw=w40-h40-p-rp-mo-ba4-br100,Quinn,Local Guide · 68 reviews · 105 photos,2 years ago,fabulous dog park attracts really nice dogs shapes sizes get quite muddy winter rain sure wear wet weather shows coffee shop next door friendly parking readily available,,,Like,Share,en
https://lh3.googleusercontent.com/a/ACg8ocIrPbO-2DIt-xRRm0VRboKjHcN3_sYcCKjx5v_N2Xw0yo5a4Q=w40-h40-p-rp-mo-br100,BERND Ringel,5 reviews · 3 photos,a year ago,quite big shade poo bagsand nice people great dogs,,,Share,,en
https://lh3.googleusercontent.com/a-/ALV-UjXruxGh6qpHN-tIHU9OzCH-y9wb0o2f6J6iT8TcPiGjRVxkRTs3=w40-h40-p-rp-mo-ba4-br100,Preston M.,Local Guide · 173 reviews · 194 photos,a year ago,great place take dog completely fenced,,,Share,,en
https://lh3.googleusercontent.com/a-/ALV-UjU8pLg3m1_i2ggmx28gjKRP5OTpMZPh6oNuHw99fWvWeJnl9nMz=w40-h40-p-rp-mo-ba4-br100,Bethaney Hyatt,Local Guide · 77 reviews · 33 photos,3 years ago,great lead dog park plenty water bags gates secure dogs love coming play everyone super friendly well issue people bringing food eat dog park etiquette makes interactions difficult otherwise lovely dog park,,,Like,Share,en
https://lh3.googleusercontent.com/a-/ALV-UjU2CUg5cSnMtSVCF7OHSavlipqhH79CTA2KQcqtIld2oHua85Y5Qg=w40-h40-p-rp-mo-br100,Loki A. Noir,14 reviews · 2 photos,a year ago,good place take dog sometimes full small dogs usually nice mix sizes energy match dogs,,,Like,Share,en
https://lh3.googleusercontent.com/a/ACg8ocJSwHTaksQJJ7M86-pEdlSw3zkbU50bJ9UcpSq9FKvpmLo4iw=w40-h40-p-rp-mo-br100,Kevin Chiu,8 reviews,4 months ago,wouldnt recommend place many people including dog owners smoke drink,,,Like,Share,en
https://lh3.googleusercontent.com/a/ACg8ocKLUm-ep42qnlfBF2zOnfY8FlUienOp0Fm8AiF1Lb0Jg-u6Yw=w40-h40-p-rp-mo-ba4-br100,Chris Finn,Local Guide · 83 reviews · 12 photos,2 years ago,great dog park time friendly pups shapes sizes take fur baby park please watch carefully dog,,,,Share,en
https://lh3.googleusercontent.com/a-/ALV-UjXSlIq9arlb6mB3CLTSlrkzAOMu46pTEX_G7yWxNq4PWhqOBUA=w40-h40-p-rp-mo-ba3-br100,Andrew Chapman,Local Guide · 26 reviews · 33 photos,6 years ago,great friendly park lots dogs people alike great new puppies older types shade across edges park well maintained,,,Like,Share,en
https://lh3.googleusercontent.com/a/ACg8ocKGuEn1TcX5lfzXjV4fyB9Lhh66rCqYpp7-85a1bWiDExi18A=w40-h40-p-rp-mo-ba3-br100,Em C,Local Guide · 45 reviews · 25 photos,3 years ago,pros fully fenced people good dog owners look dogs accordingly pretty spacious good run around poo bagsbins water site taken dog since months old loves,,,,Share,en
https://lh3.googleusercontent.com/a-/ALV-UjW16GIruItwi9zHOQc4G9w3VSwIijbyiCFS6S7SaSgITF7-Lxk=w40-h40-p-rp-mo-br100,Robert Fairweather,33 reviews · 1 photo,3 years ago,great area let dog fun bad two legs either fair amount seating sit grass takes fancy need little careful people dont keep close eye dogs get droppings,,,Like,Share,en
https://lh3.googleusercontent.com/a/ACg8ocKqj6gn8Qjf9jXPY3Jlg99L8bHungm_JRRIjYEf_EW8H93V5g=w40-h40-p-rp-mo-ba6-br100,Darren Edwards,"Local Guide · 103 reviews · 1,124 photos",6 years ago,large fully fenced dog park lots friendly dogs socialise would nice owners would keep eye dogs instead letting run wild,,,,Share,en
https://lh3.googleusercontent.com/a-/ALV-UjUbXnvhXK6EkhG_BWb4djbOcBcF3NIFkc1PlnIOnADNCFZQ3RGZ=w40-h40-p-rp-mo-ba4-br100,David Muir,Local Guide · 90 reviews · 54 photos,4 years ago,people bring dogs miles around fun tiny chihuahuas great danes seem manage play together years ive park ive never seen fight amongst dogs wish humans could tolerant differences dogs,,,,Share,en
https://lh3.googleusercontent.com/a/ACg8ocICkUU9k6k3aifTc2UCz3uWEaFzSGQbb3F1Yc2sF_DqmTGCOVt3=w40-h40-p-rp-mo-ba3-br100,Fi Fi,Local Guide · 26 reviews · 75 photos,3 years ago,dozens times terrier always great time secure fences gates drinking fountains bins poo bag dispensers benches dogs come tend smaller size unpleasant encounters far,,,,Share,en
https://lh3.googleusercontent.com/a-/ALV-UjU53XAJSaohCHT-T_qG_E26zA5yAgaosENfZUt3AjSJEm7af9A=w40-h40-p-rp-mo-ba3-br100,Danny Lee,Local Guide · 28 reviews · 9 photos,a year ago,could better old owner big golden retriever could stop dog harrassing small dogs instead hes busy phone talking people,,,Like,Share,en
https://lh3.googleusercontent.com/a-/ALV-UjW4-VPkxEoDYUcJeX0Ry5KLeCvi3HQJXfpc1xygpT53g6g1qy9l=w40-h40-p-rp-mo-ba8-br100,Malcolm Young,"Local Guide · 2,017 reviews · 9,069 photos",4 years ago,doggo love em could local hang,,,Share,Like,pt
https://lh3.googleusercontent.com/a/ACg8ocJbtKUx1DRa2pWgqPU2iVJTpPzAyZktm9UWI1v_htzGwLxOHQ=w40-h40-p-rp-mo-ba4-br100,Fahad Qayyum,Local Guide · 150 reviews · 21 photos,2 years ago,one best dog parks plenty dogs tire dog enjoy sip coffee social chats plenty parking around,,,Like,Share,en
https://lh3.googleusercontent.com/a-/ALV-UjVT-IlZ93WXMed100Ts30adm5jrycrwvYWzr5dk9hM3CIdRzftS=w40-h40-p-rp-mo-ba6-br100,Graham Rodda,"Local Guide · 1,272 reviews · 3,161 photos",3 years ago,friendly fenced dog park suitable sizes rubbish bins water toilets road near woolworths paws coffee handy great food clean bags provided generally speaking owners right,,,,Share,en
https://lh3.googleusercontent.com/a-/ALV-UjWLZC3v-_pm6pHZfi8gVicC4eJxxl6JxTkJiq_5MNv7QQPuHNza=w40-h40-p-rp-mo-ba5-br100,Jeff Yates,Local Guide · 76 reviews · 625 photos,7 years ago,although local park really best dog park going around small enough keep eye wandering puppy large enough giveem good run fully fenced usually stocked poo bags,,,Like,Share,en
https://lh3.googleusercontent.com/a-/ALV-UjWiiVUSzA5x1n2SGQn0VeKD4h-xWJ-s42Rl6YAhsZvigN-Joscx=w40-h40-p-rp-mo-ba3-br100,Anna Truong,Local Guide · 30 reviews · 1 photo,4 years ago,great small dog park north melbourne many dogs dog socialise plenty water well waste bags use relatively clean enclosure well fenced definitely bring dog,,,Like,Share,en
https://lh3.googleusercontent.com/a-/ALV-UjWQu-RtTRznAjLy5_i0QfFJ_jKtSaP0bXgE8niLYHyd-fQJpADn=w40-h40-p-rp-mo-ba5-br100,John Gunn,"Local Guide · 110 reviews · 1,073 photos",5 years ago,dont dog best friend got cute little jug jack russel pug every single day want see bestie often find dog park didnt know community dog parks,,,,Share,en
https://lh3.googleusercontent.com/a/ACg8ocLbWrjCsruvZavm-nQ6ddi0Ms-oeK07Nr_GRc_sQPEbUS9G5g=w40-h40-p-rp-mo-ba3-br100,Ellen R,Local Guide · 21 reviews · 17 photos,3 years ago,great dog park would better everyone socialised dog properly picked facilities fantastic except holes fully fenced area water taps,,,,Share,en
https://lh3.googleusercontent.com/a-/ALV-UjUmDCb1WxOQp6aYCDmXlqLrkuDorsZSybhbbiXDHD4eRlpszezI7Q=w40-h40-p-rp-mo-ba5-br100,Jeff DeMaria,Local Guide · 481 reviews · 432 photos,4 years ago,great little dog park good sense community coming years much better theyve added new features trees pick poop pretty iffy watch step smaller park,,,Like,Share,en
https://lh3.googleusercontent.com/a-/ALV-UjWexCUSpU39uYqR84P-bCEysQLJnfQQGUcXSFLnGA173ZfM8yjD=w40-h40-p-rp-mo-ba3-br100,Selin,Local Guide · 43 reviews · 1 photo,6 years ago,love clayton reserve dog park think well kept however could minor upgrades double gates dog parks days signage acceptable behaviour owners arrive sit phones watching dogs often end harassing dogs,,,,Share,en
https://lh3.googleusercontent.com/a-/ALV-UjXB9mrGLLKGsnNmjcqM0Bda-VzwH2xb5YrGvjku4_taRHZuIkZlvg=w40-h40-p-rp-mo-br100,Chris Tsavdaris,99 reviews,3 years ago,lovely fenced park beloved dog although drinking facilities hygienic standards area dog drink time blocked therefore water dirty,,,,Share,en
https://lh3.googleusercontent.com/a/ACg8ocLbFkbe9H-9GTsw9UpaUUsnpFTvBAzYtCTOjWXx90BrMXZxZYwf=w40-h40-p-rp-mo-ba5-br100,Mel,Local Guide · 595 reviews · 816 photos,2 years ago,nice enclosed dog park bench seats bins poo bags water fountains big enough dogs runaround without losing sight,,,,Share,en
https://lh3.googleusercontent.com/a-/ALV-UjVTetyaQZsq1fQt5KyAEdr9AI1aLw0VbBITYSkMpjCMf8G0ZXbe=w40-h40-p-rp-mo-ba2-br100,Rishaya Reese,Local Guide · 18 reviews · 5 photos,5 years ago,large space plenty dogs work hours weekends plenty knowledgeable friendly dog owners great place pup run lighting could brighter night fair parking,,,Like,Share,en
https://lh3.googleusercontent.com/a/ACg8ocKUd_r15bhhLcYZJAbi2QkQLp-SU_qylZTJoVTVpzPPBuTFJA=w40-h40-p-rp-mo-ba4-br100,Jason Ellis,Local Guide · 70 reviews · 129 photos,10 months ago,great place let pooches run freely ample water poo bags bins trees finally maturing sand box filled recently although need watch holes poo picked disappointingly,,,,Share,en
https://lh3.googleusercontent.com/a/ACg8ocI7KbzTNrsVJpv0Me-_UE_Rsqs9tqIxhmZIiKQSPFHl61apxQ=w40-h40-p-rp-mo-br100,David Carlton,7 reviews,6 years ago,great offleash dog park melbourne city council needs fix broken gate nw corner maintain ground better,,,Like,Share,en
https://lh3.googleusercontent.com/a/ACg8ocKxvA9AtXSIeNf8Z7RFi9iNTCeaO7WnVsFV7oitE6OiET9mWg=w40-h40-p-rp-mo-ba2-br100,Syma Parvin,Local Guide · 11 reviews · 1 photo,4 years ago,amazing local dog park park filled lovely owners even better dogs grass get bit muddy bit rain easy try avoid,,,Like,Share,en
https://lh3.googleusercontent.com/a/ACg8ocIOZrzM5uEoR2LfsFU7fZ9bWJl7bbeelGBRH36rXIPDWl4B6A=w40-h40-p-rp-mo-ba3-br100,Mike Ramos,Local Guide · 30 reviews,5 years ago,great location inner city layout great water dogs strategically placed benches humans rest dogs owners always friendly would expect everyone dog lover,,,Like,Share,en
https://lh3.googleusercontent.com/a-/ALV-UjWrxU1zyJWQ9leoV_ZIFkd3qH2UNzCmyOhbyMGBSiQkyHbrUUd5=w40-h40-p-rp-mo-ba5-br100,Phillip Edward Ness,Local Guide · 210 reviews · 690 photos,4 years ago,dog id pretty pleased plenty dogs grass defecate please bring bags people lots space fly around like space cadet exhaustion overwhelms forced return home owners nap couch dream schmackos,,,Like,Share,en
https://lh3.googleusercontent.com/a-/ALV-UjX0JhL7Kux1M9-3yaRRmis1KnG1v6tDRckZEvfEcOkmULCO3f9d=w40-h40-p-rp-mo-ba3-br100,Destiny Slade-Nafoi,Local Guide · 36 reviews · 9 photos,a year ago,bring dog days week great dog park always lots friends dog play,,,Like,Share,af
https://lh3.googleusercontent.com/a-/ALV-UjXSKfPar5Qb0IjoJj_NGBbG1D8lwn5N-_nmP0FSMsTBJ26QRxbD=w40-h40-p-rp-mo-ba4-br100,Leli Abela,Local Guide · 120 reviews · 200 photos,4 years ago,great place socialising dogs,,,Share,Like,en
https://lh3.googleusercontent.com/a-/ALV-UjX4uXBF8cyavnyMft84-fU8xo8L8i9NZFR-V74MBu5hrLTE5EmL=w40-h40-p-rp-mo-ba4-br100,Natasha Ace,Local Guide · 112 reviews · 48 photos,4 years ago,love although times owners careless cleaning dogs worse leaving park unattended owners great dogs fantastic,,,,Share,en
https://lh3.googleusercontent.com/a-/ALV-UjW1oLhOVfdB4fArng9MAFqLvNfk4wLYJHNus95XwPUMhDwLg4fz3Q=w40-h40-p-rp-mo-ba4-br100,Padma Dorjee,Local Guide · 80 reviews · 30 photos,2 years ago,wonderful dog park watched lady fall straight back hit back head huge holes council monitor maintain special parks contribute injury,,,,Share,en
https://lh3.googleusercontent.com/a-/ALV-UjWpdqREs2tu0gA0z6rXfPK8nAPgLzw-Lkph7zI5Na_dCp-pxNyD=w40-h40-p-rp-mo-ba5-br100,Hayley Kennedy,"Local Guide · 270 reviews · 1,148 photos",8 years ago,great dog park spacious fenced dog bags water tap negative users need pick dogs guaranteed walk dog st especially night,,,Like,Share,en
https://lh3.googleusercontent.com/a-/ALV-UjWz6l_gQd8hEcuKwM4W9_k4sLJJcAquVTIphy6MIrEgMjCjwqnB=w40-h40-p-rp-mo-ba3-br100,adi parker,Local Guide · 40 reviews · 1 photo,5 years ago,play critters clayton reserve north mbut rain clouds came freezing breezebrrrrdiamond dog like cold breezeslol,,,Share,,en
https://lh3.googleusercontent.com/a-/ALV-UjWsME_cN2yezsI1v82is48OMNEmwzjwFCpX_ASxK5n0QaNQqvmf=w40-h40-p-rp-mo-ba5-br100,Jonathan Morton,Local Guide · 169 reviews · 170 photos,7 years ago,great walking dogs dogs ball together fully fenced poo bags available unfortunately everyone picks dog,,,,Share,en
https://lh3.googleusercontent.com/a-/ALV-UjWy1c-ujzFExtHXQZ84VRUnRhlpRyQLs8ky0jP6yd6Y1TepmC41=w40-h40-p-rp-mo-br100,Tiah Gray,11 reviews · 4 photos,10 months ago,amazing space dogs little frenchie absolutely loves coming,,,Like,Share,en
https://lh3.googleusercontent.com/a-/ALV-UjUUE-e-cTpfNdcTrwHrLokm-CS8-1Sr6KvIdOY1PcZBNq3gGTeQ=w40-h40-p-rp-mo-ba4-br100,Phillip McKenzie,Local Guide · 129 reviews · 101 photos,4 years ago,unexpected surprise middle north melbourne great got owners well dog lovers downside might lack shade necessary amenities water doggie dodo bags,,,Like,Share,en
https://lh3.googleusercontent.com/a-/ALV-UjVHgl4f0ce6sDPONEOktkNulmEa6tERMHsu0rYpZc_Q6XRxtDA=w40-h40-p-rp-mo-ba4-br100,Breanna smith,Local Guide · 109 reviews · 194 photos,2 years ago,great fully enclosed dog park bins available emergency poo bags benches spread sitting slight tree coverage shelters,,,Like,Share,en
https://lh3.googleusercontent.com/a-/ALV-UjWk2iHx5akGjgd_qRhPs3BGNRLi3qy8flxGidnLWY8vDcME8SYO=w40-h40-p-rp-mo-ba5-br100,Vishnu Nair,Local Guide · 84 reviews · 269 photos,6 years ago,small secure place pooches run around pretty safe small dogs maybe jump high pretty clean waters available,,,Like,Share,en
https://lh3.googleusercontent.com/a/ACg8ocK1q7ufNwdqsi8E8qUVCbaA_PuOBCTuy-ivAvk0El4oYhJIZA=w40-h40-p-rp-mo-br100,Gabriel Apel,1 review,4 years ago,beware aggressive man walks every work day aprox pm words looking excuse kick dog barks described bringing hammer dogs head barking first encounter guy great park otherwise,,,Like,Share,en
https://lh3.googleusercontent.com/a-/ALV-UjU9k-ZlSjg3XlVFXUVCXWWV_hlvLIpxAdkV-Ox-dAF09xMxxfIr=w40-h40-p-rp-mo-ba5-br100,Nell Bea,Local Guide · 362 reviews · 521 photos,3 years ago,great place take dog get used socialising dogstook dog first time though bit wary way took lead minutes humans pretty friendly,,,Like,Share,en
https://lh3.googleusercontent.com/a/ACg8ocJ3qyLs3uYjfzjzr6k2dTpwddXjxJCM6GkMHe8w9lFpSKyU_g=w40-h40-p-rp-mo-br100,starsign1962,4 reviews,7 years ago,took spoodle week find large dogs supposedly lost dogs home exercise run spoodle continually chased large dogs eventually attacked sheer terror made run towards,,,,Share,en
https://lh3.googleusercontent.com/a/ACg8ocLGepvvPOaPOjJwJUhQ-DrI1W1fi-1sH58O9iDLWWJgDf3tTXOl=w40-h40-p-rp-mo-ba4-br100,Shaun Lee,Local Guide · 60 reviews · 49 photos,3 years ago,spacious dog park fur kids run fulltilt making new friends theres woolies across street need get supplies,,,,Share,en
https://lh3.googleusercontent.com/a/ACg8ocKlz9psog--J4V2y4jVgBVl86_cqN4CsxFK35-umlv4WwmbhA=w40-h40-p-rp-mo-ba3-br100,Taleetha Hughes,Local Guide · 58 reviews · 14 photos,2 years ago,good dog park fenced owners dont pick dogs willing frustrating honours pooches great,,,Like,Share,en
https://lh3.googleusercontent.com/a-/ALV-UjWlSWhCvNWqtbqlCSIvVa8Ri_qD4pYKJZUrNCCV5Nc_1BkRDEU0ag=w40-h40-p-rp-mo-ba6-br100,Xennial travel time,Local Guide · 191 reviews · 575 photos,4 years ago,nice place bring doggo leash free walk careful people dont know handle big dogs especially around little dogs,,,Like,Share,en
https://lh3.googleusercontent.com/a-/ALV-UjUojCViiHupl2-1Ov_IOS_5Yx8idMVhbXyljg8P47yeFIkElz0Z=w40-h40-p-rp-mo-ba3-br100,Gregory B,Local Guide · 9 reviews · 4 photos,a year ago,great park would good playground dogs bags water supplied,,,Like,Share,en
https://lh3.googleusercontent.com/a-/ALV-UjX95qa6DZYWPxdg5URECRo8s2MaLVKabUvqK2T7wdbUZjQsxUjp=w40-h40-p-rp-mo-br100,Leonie Angela,223 reviews · 42 photos,2 years ago,nice walk around surrounding floodplain lovely native guns beautiful birds clayton reserve small park near road believe get doveton eumemmerring dufftown walked,,,Like,Share,en
https://lh3.googleusercontent.com/a/ACg8ocJI0Z7O9jn9NvD88UFRH40CGzoenueoWJnz6RNQTHxoREZh-Q=w40-h40-p-rp-mo-ba5-br100,Ngappa Briggs,Local Guide · 140 reviews,2 years ago,fenced dog park safety gates convenient location passing safe groodle run amok lead loves,,,Like,Share,en
https://lh3.googleusercontent.com/a-/ALV-UjWuXCR9r7txDQEQ4OMsPEfuDPwLz6xrrSrx-n9crHRAYefbDnJG=w40-h40-p-rp-mo-ba5-br100,Marco Fuentes,Local Guide · 280 reviews · 627 photos,5 years ago,place great place take dog plenty space play socialize dogs plus fully enclosed,,,Share,Like,en
https://lh3.googleusercontent.com/a-/ALV-UjV2nVcRTvD-NFlU_nrNDdd1s-t0qZ5TKaabL8pIL6s2S2DpT-wX=w40-h40-p-rp-mo-ba4-br100,Nicholas Dow,Local Guide · 99 reviews · 30 photos,3 years ago,small securely fenced ideal new family member teach recall friendly neighbourhood dog park,,,Like,Share,en
https://lh3.googleusercontent.com/a/ACg8ocLivsbaKucrVz-TGAkr_Bhwy96YV9IkcuqzVWBfe9HYGu3LIw=w40-h40-p-rp-mo-br100,David Gatt,90 reviews · 253 photos,3 years ago,nice clean park main grass areas open space friendly people responsible dog owners,,,Like,Share,en
